»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2016/11/27,68,¡º,49,80,7,0.9,45,58
2016/11/28,97,¡º,63,101,18,1.7,77,16
2016/11/29,129,«·∂»Œ€»æ,98,146,26,2.6,81,4
2016/11/30,117,«·∂»Œ€»æ,88,128,15,2.1,67,53
2016/12/1,60,¡º,33,56,9,0.8,48,57
2016/12/2,129,«·∂»Œ€»æ,98,131,19,2.1,85,17
2016/12/3,259,÷ÿ∂»Œ€»æ,209,272,24,3.4,113,10
2016/12/4,302,—œ÷ÿŒ€»æ,252,284,18,3.6,104,17
2016/12/5,60,¡º,43,50,8,1,43,61
2016/12/6,112,«·∂»Œ€»æ,84,128,21,2.3,92,11
2016/12/7,170,÷–∂»Œ€»æ,129,169,23,2.7,100,15
2016/12/8,114,«·∂»Œ€»æ,86,119,11,1.7,53,66
2016/12/9,54,¡º,25,45,9,0.8,43,48
2016/12/10,80,¡º,49,74,14,1.4,64,24
2016/12/11,219,÷ÿ∂»Œ€»æ,169,204,35,3.5,101,8
2016/12/12,271,÷ÿ∂»Œ€»æ,221,240,39,3,103,15
2016/12/13,68,¡º,49,32,9,1.2,50,43
2016/12/14,58,¡º,28,51,11,0.8,46,43
2016/12/15,54,¡º,27,53,10,0.9,43,59
2016/12/16,149,«·∂»Œ€»æ,114,149,22,2.2,92,14
2016/12/17,246,÷ÿ∂»Œ€»æ,196,224,32,3.3,104,11
2016/12/18,271,÷ÿ∂»Œ€»æ,221,239,25,3.5,102,14
2016/12/19,273,÷ÿ∂»Œ€»æ,223,253,22,4.1,111,14
2016/12/20,418,—œ÷ÿŒ€»æ,376,415,8,8,135,6
2016/12/21,431,—œ÷ÿŒ€»æ,396,415,12,8,155,9
2016/12/22,79,¡º,58,57,6,1.3,35,59
2016/12/23,62,¡º,34,65,9,0.8,49,39
2016/12/24,160,÷–∂»Œ€»æ,122,152,26,2.7,90,10
2016/12/25,195,÷–∂»Œ€»æ,146,168,30,2.8,96,5
2016/12/26,59,¡º,41,45,15,0.9,47,50
2016/12/27,59,¡º,42,63,9,0.9,45,51
2016/12/28,87,¡º,64,64,10,1.1,42,45
2016/12/29,88,¡º,65,94,12,1.1,53,31
2016/12/30,262,÷ÿ∂»Œ€»æ,212,255,19,3.3,100,8
2016/12/31,351,—œ÷ÿŒ€»æ,301,356,21,4.6,129,8
2017/1/1,470,—œ÷ÿŒ€»æ,454,512,8,6.8,141,6
2017/1/2,248,÷ÿ∂»Œ€»æ,198,190,13,3.8,102,38
2017/1/3,348,—œ÷ÿŒ€»æ,311,339,17,6,153,17
2017/1/4,389,—œ÷ÿŒ€»æ,364,389,19,7.5,153,13
2017/1/5,270,÷ÿ∂»Œ€»æ,223,222,16,5.3,115,11
2017/1/6,248,÷ÿ∂»Œ€»æ,199,183,23,4.3,110,14
2017/1/7,220,÷ÿ∂»Œ€»æ,167,128,18,3.3,83,11
2017/1/8,50,”≈,34,20,10,1,34,54
2017/1/9,50,”≈,36,43,7,0.8,40,47
2017/1/10,42,”≈,25,39,8,0.7,36,61
2017/1/11,95,¡º,58,79,19,1.7,75,19
2017/1/12,63,¡º,41,59,12,1,50,46
2017/1/13,34,”≈,8,21,6,0.4,23,69
2017/1/14,56,¡º,20,39,11,0.9,45,52
2017/1/15,71,¡º,53,70,11,1,50,31
2017/1/16,121,«·∂»Œ€»æ,96,108,19,1.8,68,8
2017/1/17,180,÷–∂»Œ€»æ,137,142,21,2.2,75,21
2017/1/18,62,¡º,38,51,11,0.9,52,39
2017/1/19,70,¡º,45,86,14,1.2,37,63
2017/1/20,43,”≈,25,37,9,0.8,36,57
2017/1/21,49,”≈,24,46,9,0.8,29,72
2017/1/22,52,¡º,26,36,12,0.9,42,49
2017/1/23,58,¡º,36,46,14,1,50,44
2017/1/24,114,«·∂»Œ€»æ,90,101,29,2.1,77,29
2017/1/25,224,÷ÿ∂»Œ€»æ,178,177,39,3.3,95,30
2017/1/26,209,÷ÿ∂»Œ€»æ,155,164,26,2.7,62,70
2017/1/27,87,¡º,78,111,24,0.8,31,77
2017/1/28,398,—œ÷ÿŒ€»æ,345,426,84,2.7,71,26
2017/1/29,56,¡º,30,65,8,0.7,15,68
2017/1/30,40,”≈,29,35,11,0.6,22,72
2017/1/31,104,«·∂»Œ€»æ,77,84,27,1.3,43,57
2017/2/1,51,¡º,38,57,16,0.6,29,62
2017/2/2,103,«·∂»Œ€»æ,83,98,30,1.6,63,50
2017/2/3,210,÷ÿ∂»Œ€»æ,166,179,45,2.7,87,49
2017/2/4,305,—œ÷ÿŒ€»æ,245,240,48,3.4,94,52
2017/2/5,43,”≈,12,14,7,0.5,25,86
2017/2/6,36,”≈,15,26,8,0.5,31,68
2017/2/7,103,«·∂»Œ€»æ,80,93,21,1.6,62,40
2017/2/8,49,”≈,30,44,7,0.8,25,76
2017/2/9,38,”≈,7,20,3,0.3,12,76
2017/2/10,42,”≈,7,23,3,0.4,17,85
2017/2/11,65,¡º,53,80,21,1,49,77
2017/2/12,137,«·∂»Œ€»æ,107,139,42,2.4,81,43
2017/2/13,108,«·∂»Œ€»æ,85,107,25,2.1,70,70
2017/2/14,230,÷ÿ∂»Œ€»æ,185,188,32,2.9,101,20
2017/2/15,281,÷ÿ∂»Œ€»æ,243,220,38,3.2,112,49
2017/2/16,135,«·∂»Œ€»æ,100,95,18,1.4,53,66
2017/2/17,41,”≈,24,41,8,0.6,32,80
2017/2/18,113,«·∂»Œ€»æ,88,124,27,1.7,77,52
2017/2/19,128,«·∂»Œ€»æ,94,139,23,1.5,59,83
2017/2/20,36,”≈,13,34,5,0.5,27,72
2017/2/21,82,¡º,62,74,15,1.3,59,31
2017/2/22,103,«·∂»Œ€»æ,76,64,7,1.1,40,68
2017/2/23,41,”≈,19,30,7,0.6,36,78
2017/2/24,57,¡º,25,37,9,0.8,47,76
2017/2/25,43,”≈,11,22,6,0.5,32,86
2017/2/26,66,¡º,29,47,10,0.8,54,72
2017/2/27,97,¡º,67,96,17,1.5,80,54
2017/2/28,43,”≈,14,28,6,0.6,34,87
2017/3/1,47,”≈,8,37,3,0.4,13,94
2017/3/2,67,¡º,40,80,13,0.9,54,70
2017/3/3,111,«·∂»Œ€»æ,82,138,23,1.5,68,60
2017/3/4,113,«·∂»Œ€»æ,87,108,26,1.7,74,82
