日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2021/3/13,43,优,11,28,5,0.5,32,87
2021/3/14,51,良,21,52,8,0.6,43,85
2021/3/15,86,良,65,96,22,1.2,69,77
2021/3/16,148,轻度污染,115,156,25,1.4,88,83
2021/3/17,160,中度污染,125,162,19,1.1,71,81
2021/3/18,190,中度污染,146,162,16,1.2,68,139
2021/3/19,273,重度污染,222,217,33,2.1,81,150
2021/3/20,182,中度污染,137,126,19,1.4,75,60
2021/3/21,113,轻度污染,87,123,7,0.8,48,98
2021/3/22,175,中度污染,140,178,19,1.3,81,74
2021/3/23,160,中度污染,121,90,6,1.7,60,52
2021/3/24,80,良,60,31,2,1,49,50
2021/3/25,48,优,34,28,3,0.8,36,82
2021/3/26,44,优,12,27,3,0.4,23,89
2021/3/27,43,优,17,34,3,0.4,37,87
2021/3/28,80,良,60,93,9,0.7,54,100
2021/3/29,148,轻度污染,118,141,11,0.9,65,111
2021/3/30,114,轻度污染,86,129,16,1.2,57,85
2021/3/31,47,优,20,42,4,0.5,34,86
2021/4/1,67,良,31,78,7,0.6,52,88
2021/4/2,91,良,68,112,14,1.1,72,97
2021/4/3,165,中度污染,125,170,21,1.3,78,159
2021/4/4,174,中度污染,130,147,20,1.2,62,90
2021/4/5,81,良,61,57,5,0.6,30,129
2021/4/6,125,轻度污染,98,106,6,0.9,47,123
2021/4/7,100,良,76,120,8,0.8,48,76
2021/4/8,86,良,76,136,7,0.9,60,64
2021/4/9,87,良,64,100,7,1,46,98
2021/4/10,90,良,66,119,9,0.8,59,72
2021/4/11,58,良,26,66,3,0.4,35,90
2021/4/12,70,良,30,94,5,0.6,53,97
2021/4/13,91,良,54,135,14,1.1,66,77
2021/4/14,93,良,60,136,6,0.9,67,99
2021/4/15,70,良,36,86,5,0.5,52,119
2021/4/16,124,轻度污染,97,176,17,1,72,110
2021/4/17,168,中度污染,123,210,8,1,56,97
2021/4/18,65,良,24,80,2,0.3,23,94
2021/4/19,87,良,45,122,7,0.9,71,35
2021/4/20,71,良,36,88,3,0.7,44,90
2021/4/21,54,良,19,58,2,0.3,23,104
2021/4/22,87,良,44,122,8,0.5,44,122
2021/4/23,62,良,24,72,4,0.4,24,115
2021/4/24,66,良,31,79,5,0.5,31,111
2021/4/25,38,优,13,39,3,0.3,26,77
2021/4/26,51,良,14,38,3,0.4,30,102
2021/4/27,54,良,15,49,2,0.4,36,105
2021/4/28,62,良,23,64,3,0.4,40,115
2021/4/29,76,良,40,103,3,0.5,43,127
2021/4/30,105,轻度污染,48,158,5,0.5,44,141
2021/5/1,81,良,39,111,8,0.7,46,123
2021/5/2,132,轻度污染,64,132,10,1,54,196
2021/5/3,93,良,69,107,9,0.9,47,118
2021/5/4,500,严重污染,125,356,2,0.3,23,96
2021/5/5,342,严重污染,181,406,4,0.4,24,88
2021/5/6,71,良,34,94,3,0.4,38,113
2021/5/7,85,良,28,75,5,0.4,41,142
2021/5/8,101,轻度污染,56,113,8,0.6,55,162
2021/5/9,100,良,43,93,7,0.5,26,160
2021/5/10,81,良,39,69,4,0.5,32,138
2021/5/11,91,良,31,134,3,0.4,33,96
2021/5/12,111,轻度污染,45,170,5,0.5,26,144
2021/5/13,61,良,19,67,2,0.3,18,91
2021/5/14,70,良,12,35,2,0.3,16,124
2021/5/15,81,良,23,62,7,0.6,26,138
2021/5/16,124,轻度污染,43,90,10,0.6,30,187
2021/5/17,185,中度污染,62,133,10,0.7,39,250
2021/5/18,201,重度污染,86,152,11,0.9,52,275
2021/5/19,187,中度污染,85,150,11,0.8,44,252
2021/5/20,171,中度污染,57,122,8,0.8,40,236
2021/5/21,116,轻度污染,57,94,12,1,27,178
2021/5/22,53,良,37,46,7,1.1,37,54
2021/5/23,71,良,18,32,2,0.5,34,126
2021/5/24,84,良,17,54,3,0.4,45,141
2021/5/25,104,轻度污染,22,83,5,0.6,39,165
2021/5/26,154,中度污染,45,97,9,0.6,51,219
2021/5/27,196,中度污染,69,117,21,1.4,47,261
2021/5/28,194,中度污染,87,135,17,1.5,36,259
2021/5/29,69,良,28,88,8,0.7,27,101
2021/5/30,101,轻度污染,42,70,2,0.7,39,162
2021/5/31,140,轻度污染,65,104,4,0.8,45,205
2021/6/1,123,轻度污染,23,57,4,0.6,30,186
2021/6/2,57,良,23,65,12,1,40,74
2021/6/3,83,良,29,56,5,0.7,38,140
